Sample,Common name,Kingdom,Phylum,Class,Order,Family,Genus,Species
ilArcCraa1,Brown oak tortrix,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Archips,Archips crataeganus
ilArcXylo1,Variegated golden tortrix,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Archips,Archips xylosteana
ilAriAges1,Brown argus,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Aricia,Aricia agestis
ilAriArta2,Northern brown argus,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Aricia,Aricia artaxerxes
ilAteCent1,Centre-barred sallow,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Atethmia,Atethmia centrago
ilAthMouf1,Dotted grey groundling,Metazoa,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Athrips,Athrips mouffetella
ilAutGamm1,Silver y,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Autographa,Autographa gamma
ilAutPulc1,Beautiful golden y,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Autographa,Autographa pulchrina
ilBemIchn1,Six-belted clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Bembecia,Bembecia ichneumoniformis
ilBicAnyn1,Squinting bush brown,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,Bicyclus anynana
ilBisBetu1,Peppered moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Biston,Biston betularia
ilBlaAdus2,Dingy dowd,Metazoa,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis adustella
ilBlaLact1,London dowd,Metazoa,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis lacticolella
ilBolSele5,Silver meadow fritillary,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,Boloria selene
ilBraVimi1,Minor shoulder-knot,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Brachylomia,Brachylomia viminalis
ilCalPalu1,Bulrush veneer,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Calamotropha,Calamotropha paludella
ilCamMarg1,Light emerald,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Campaea,Campaea margaritaria
ilCarClav1,Pale mottled willow,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Caradrina,Caradrina clavipalpis
ilCarKade1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Caradrina,Caradrina kadenii
ilCarPala2,Arctic skipper,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Carterocephalus,Carterocephalus palaemon
ilCarQuer1,Long-horned flat-body,Metazoa,Arthropoda,Insecta,Lepidoptera,Depressariidae,Carcina,Carcina quercana
ilCatFrax1,Cliften non-pareil,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Catocala,Catocala fraxini
ilCelArgi3,Holly blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina,Celastrina argiolus
ilChaFerr1,Brown rustic,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Charanyca,Charanyca ferruginea
ilCheLega1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Chesias,Chesias legatella
ilChlSite2,Red-green carpet,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Chloroclysta,Chloroclysta siterata
ilChrCulm1,Garden grass-veneer,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Chrysoteuchia,Chrysoteuchia culmella
ilCloCurt1,Chocolate tip,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Clostera,Clostera curtula
ilColCroc2,Clouded yellow,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias,Colias croceus
ilColFlav1,Tipped oak case-bearer,Metazoa,Arthropoda,Insecta,Lepidoptera,Coleophoridae,Coleophora,Coleophora flavipennella
ilConVacc3,The chestnut,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Conistra,Conistra vaccinii
ilCosPyra2,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Cosmia,Cosmia pyralina
ilCosTrap1,Dun-bar pinion,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Cosmia,Cosmia trapezina
ilCraLigu1,Coronet,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Craniophora,Craniophora ligustri
ilCroElin1,Scalloped oak,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Crocallis,Crocallis elinguaria
ilCyaSemi1,Mazarine blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cyaniris,Cyaniris semiargus
ilCybMeso1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Cybosia,Cybosia mesomella
ilCydAmpl1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,Cydia amplana
ilCydSple1,Marbled piercer,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,Cydia splendana
ilCydStro3,Spruce-seed moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,Cydia strobilella
ilDeiPorc1,Small elephant hawk-moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Deilephila,Deilephila porcellus
ilDiaChry1,Burnished brass,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Diachrysia,Diachrysia chrysitis
ilDiaMend1,Muslin,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Diaphora,Diaphora mendica
ilDiaRubi1,Small square-spot,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Diarsia,Diarsia rubi
ilDicOoxx2,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Dicycla,Dicycla oo
ilDilCaer1,Figure of eight,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Diloba,Diloba caeruleocephala
ilDreFalc1,Pebble hook-tip,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Drepana,Drepana falcataria
ilDryErem1,Brindled green,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Dryobotodes,Dryobotodes eremita
ilDryLabe1,Oak rustic,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Dryobota,Dryobota labecula
ilDryRufi1,Lunar marbled brown,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Drymonia,Drymonia ruficornis
ilEclSila1,Small phoenix,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Ecliptopera,Ecliptopera silaceata
ilEilCani1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Eilema,Eilema caniola
ilEilDepe1,Buff footman,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Eilema,Eilema depressum
ilEilSoro1,Orange footman,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Eilema,Eilema sororcula
ilEleCory1,Broken-barred carpet,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Electrophaes,Electrophaes corylata
ilEleSimi1,White-barred knot-horn,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Elegia,Elegia similella
ilEmmMono1,Common plume,Metazoa,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Emmelina,Emmelina monodactyla
ilEndFlam1,Rose-flounced tabby,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Endotricha,Endotricha flammealis
ilEnnFusc2,Dusky thorn,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,Ennomos fuscantarius
ilEnnQuei1,August thorn,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,Ennomos quercinarius
ilEpiBilu1,Crescent bell,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia bilunana
ilEpiDema1,Birch bell,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia demarniana
ilEpiNise2,Grey poplar bell,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia nisella
ilEpiRame1,Small birch bell,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia ramella
ilEraDefo1,Mottled umber,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Erannis,Erannis defoliaria
ilEreAeth2,Scotch argus,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Erebia,Erebia aethiops
ilEreLige1,Arran brown,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Erebia,Erebia ligea
ilEryTage1,Dingy skipper,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Erynnis,Erynnis tages
ilEspSulp1,Sulphur tubic,Metazoa,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Esperia,Esperia sulphurella
ilEucMixx1,Mother shipton,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Euclidia,Euclidia mi
ilEudLacu3,Little grey,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Eudonia,Eudonia lacustrata
ilEudProf1,Diamond-back marble,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Eudemis,Eudemis profundana
ilEugGlar6,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Eugnorisma,Eugnorisma glareosa
ilEulPrun1,The phoenix,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eulithis,Eulithis prunata
ilEulTest2,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eulithis,Eulithis testata
ilEupAbbr2,Brindled pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia abbreviata
ilEupCent1,Lime-speck pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia centaureata
ilEupDodo1,Oak tree pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia dodoneata
ilEupExig1,Mottled pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia exiguata
ilEupInsi1,Pinion-spotted pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia insigniata
ilEupLuci1,Small angle shades,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Euplexia,Euplexia lucipara
ilEupSimi1,Yellow-tail,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Euproctis,Euproctis similis
ilEupTran1,The satellite,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Eupsilia,Eupsilia transversa
ilEupVulg1,Common pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,Eupithecia vulgata
ilEuzPing2,Ash-bark knot-horn,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Euzophera,Euzophera pinguis
ilFabAdip1,High brown fritillary,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Fabriciana,Fabriciana adippe
ilFisYpsi1,Dingy shears,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Fissipunctia,Fissipunctia ypsillon
ilFurFurc1,Sallow kitten,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Furcula,Furcula furcula
ilGanPyra1,Barred straw,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Gandaritis,Gandaritis pyraliata
ilGlaAlex1,Green-underside blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Glaucopsyche,Glaucopsyche alexis
ilGriApri1,Merveille du jour,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Griposia,Griposia aprilina
ilGymRufi1,Double-striped pug,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Gymnoscelis,Gymnoscelis rufifasciata
ilHabPyri1,Buff arches,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Habrosyne,Habrosyne pyritoides
ilHecDyso1,Small ranunculus,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Hecatera,Hecatera dysodea
ilHedSali1,White-backed marble,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Hedya,Hedya salicella
ilHemAest2,Common emerald,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Hemithea,Hemithea aestivaria
ilHemChry1,Small emerald,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Hemistola,Hemistola chrysoprasaria
ilHerTari1,The fan foot,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Herminia,Herminia tarsipennalis
ilHesComm1,Common branded skipper,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Hesperia,Hesperia comma
ilHipSeme1,Rock grayling,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Hipparchia,Hipparchia semele
ilHofPseu3,Brown house moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Hofmannophila,Hofmannophila pseudospretella
ilHydFurc1,July highflyer,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Hydriomena,Hydriomena furcata
ilHydMica1,Rosy rustic,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Hydraecia,Hydraecia micacea
ilHylFasc1,Barred red,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Hylaea,Hylaea fasciaria
ilHypCost1,Gold triangle,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Hypsopygia,Hypsopygia costalis
ilHypProb1,The snout,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena proboscidalis
ilIdaAver1,Riband wave,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Idaea,Idaea aversata
ilIncMasc1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Incurvariidae,Incurvaria,Incurvaria masculella
ilLacWlai2,Light brocade,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lacanobia,Lacanobia wlatinum
ilLamSuff1,Water carpet,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Lampropteryx,Lampropteryx suffumata
ilLaoPopu1,Poplar hawk-moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Laothoe,Laothoe populi
ilLasFlex1,Beautiful hook-tip,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Laspeyria,Laspeyria flexula
ilLasMege1,Wall brown,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lasiommata,Lasiommata megera
ilLatStri6,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Lathronympha,Lathronympha strigana
ilLepSina1,Wood white,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Leptidea,Leptidea sinapis
ilLeuSali1,White satin,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Leucoma,Leucoma salicis
ilLigAdus1,Scorched carpet,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Ligdia,Ligdia adustata
ilLimCami1,White admiral,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,Limenitis camilla
ilLitOrni1,Grey shoulder-knot,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lithophane,Lithophane ornitopus
ilLitSemi2,Tawny pinion,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lithophane,Lithophane semibrunnea
ilLitSoci1,Pale pinion,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lithophane,Lithophane socia
ilLobHalt1,The seraphim,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Lobophora,Lobophora halterata
ilLomBima1,White-pinioned spotted,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Lomographa,Lomographa bimaculata
ilLupTest1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Luperina,Luperina testacea
ilLycHirt1,Brindled beauty,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Lycia,Lycia hirtaria
ilLycPhla1,Small copper,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena phlaeas
ilLymMona1,Black arches,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Lymantria monacha
ilLysBell1,Adonis blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lysandra,Lysandra bellargus
ilLysCori1,Chalkhill blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lysandra,Lysandra coridon
ilMacNota1,Peacock moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Macaria,Macaria notata
ilMamBras1,Cabbage moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mamestra,Mamestra brassicae
ilManJurt1,Meadow brown,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Maniola,Maniola jurtina
ilMarLuna1,Crescent plume,Metazoa,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Marasmarcha,Marasmarcha lunaedactyla
ilMegAlbu1,Kent black arches,Metazoa,Arthropoda,Insecta,Lepidoptera,Nolidae,Meganola,Meganola albula
ilMelAtha1,Heath fritillary,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,Mellicta athalia
ilMelCinx1,Glanville fritillary,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,Melitaea cinxia
ilMelGala2,Marbled white,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melanargia,Melanargia galathea
ilMelPers1,Dot moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melanchra,Melanchra persicariae
ilMesFuru1,Cloaked minor,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mesoligia,Mesoligia furuncula
ilMicArun2,White-barred gold,Metazoa,Arthropoda,Insecta,Lepidoptera,Micropterigidae,Micropterix,Micropterix aruncella
ilMilMini2,Rosy footman,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Miltochrista,Miltochrista miniata
ilMimTili1,Lime hawk-moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Mimas,Mimas tiliae
ilMonLaev2,Skin moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Tineidae,Monopis,Monopis laevigella
ilMusNiti1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Musotima,Musotima nitidalis
ilMytAlbi1,White-point,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna albipuncta
ilMytFerr1,The clay,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna ferrago
ilMytImpu1,Smoky wainscot,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna impura
ilNemSwae1,Large long-horn,Metazoa,Arthropoda,Insecta,Lepidoptera,Adelidae,Nematopogon,Nematopogon swammerdamellus
ilNocFimb1,Broad-bordered yellow underwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,Noctua fimbriata
ilNocJant1,Tesser broad-boardered yellow underwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,Noctua janthe
ilNocPron1,Large yellow underwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,Noctua pronuba
ilNotDrom1,Iron prominent,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Notodonta,Notodonta dromedarius
ilNotUddm1,Bramble shoot,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Notocelia,Notocelia uddmanniana
ilNotZicz1,Pebble prominent,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Notodonta,Notodonta ziczac
ilNycReva1,Oak nycteoline,Metazoa,Arthropoda,Insecta,Lepidoptera,Nolidae,Nycteola,Nycteola revayana
ilNymNiti1,Beautiful china-mark,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Nymphula,Nymphula nitidulata
ilNymPoly1,Large tortoiseshell,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalis,Nymphalis polychloros
ilOchPlec1,Flame shoulder,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Ochropleura,Ochropleura plecta
ilOchSylv3,Large skipper,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ochlodes,Ochlodes sylvanus
ilOliLatr1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Oligia,Oligia latruncula
ilOmpLuno1,Lunar underwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Omphaloscelis,Omphaloscelis lunosa
ilOpeBrum1,Winter moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Operophtera,Operophtera brumata
ilOpiLute1,Brimstone moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Opisthograptis,Opisthograptis luteolata
ilOrgAnti1,Rusty tussock moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Orgyia,Orgyia antiqua
ilOrtGrac1,Powdered quaker,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Orthosia,Orthosia gracilis
ilOrtInce1,Clouded drab,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Orthosia,Orthosia incerta
ilPamAuri1,Sycamore piercer,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pammene,Pammene aurita
ilPamFasc1,Acorn piercer,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pammene,Pammene fasciana
ilPanCinn1,White-faced tortrix,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pandemis,Pandemis cinnamomeana
ilPapMach1,Common yellow swallowtail,Metazoa,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,Papilio machaon
ilParAegt1,Speckled wood,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria
ilParStra1,Ringed china-mark,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Parapoynx,Parapoynx stratiotata
ilPerRhom1,Willow beauty,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Peribatodes,Peribatodes rhomboidaria
ilPhaBuce1,Buff-tip,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Phalera,Phalera bucephala
ilPheGnom1,Lesser swallow prominent,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Pheosia,Pheosia gnoma
ilPheTrem1,Swallow prominent,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Pheosia,Pheosia tremula
ilPhiVetu1,Brown scallop,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Philereme,Philereme vetulata
ilPhlMeti2,Angle shades,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Phlogophora,Phlogophora meticulosa
ilPhrFuli1,Ruby tiger,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Phragmatobia,Phragmatobia fuliginosa
ilPieBrab1,Large white,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris brassicae
ilPieNapi4,Green-veined white,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris napi
ilPieRapa1,Small white,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae
ilPleArgu1,Silver-studded blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Plebejus,Plebejus argus
ilPluXylo3,Diamondback moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Plutellidae,Plutella,Plutella xylostella
ilPolIcar1,Common blue,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatus,Polyommatus icarus
ilPolLich1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Polymixis,Polymixis lichenea
ilProPyga1,Marbled white spot,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Protodeltote,Protodeltote pygarga
ilPtiCapc1,Coxcomb prominent,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Ptilodon,Ptilodon capucinus
ilPyrFari1,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Pyralis,Pyralis farinalis
ilPyrMalv3,Grizzled skipper,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Pyrgus,Pyrgus malvae
ilSatPavo1,Emperor moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Saturniidae,Saturnia,Saturnia pavonia
ilSchCost1,Pinion-streaked snout,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Schrankia,Schrankia costaestrigalis
ilSelDent1,Early thorn,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Selenia,Selenia dentaria
ilSesApif2,Hornet moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Sesia,Sesia apiformis
ilSesBemb1,Lunar hornet clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Sesia,Sesia bembeciformis
ilShaVerb5,Mullein moth,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Cucullia,Shargacucullia verbasci
ilSphPina1,Pine hawkmoth,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,Sphinx pinastri
ilSpiLubr1,White ermine,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma,Spilosoma lubricipeda
ilSpiLutu1,Buff ermine,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilarctia,Spilarctia lutea
ilSteBipu1,Twin-spot plume,Metazoa,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Stenoptilia,Stenoptilia bipunctidactyla
ilSynAndr1,Orange-tailed clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon andrenaeformis
ilSynForm1,Red-tipped clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon formicaeformis
ilSynMyop1,Red-belted clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon myopaeformis
ilSynTipu2,Currant clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon tipuliformis
ilSynVesp1,Yellow-legged clearwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Sesiidae,Synanthedon,Synanthedon vespiformis
ilTelLucu1,Crescent groundling,Metazoa,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Teleiodes,Teleiodes luculella
ilThaMatu1,Straw underwing,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Thalpophila,Thalpophila matura
ilTheBrit1,Spruce carpet,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Thera,Thera britannica
ilTheObel3,.,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Thera,Thera obeliscata
ilThoDeci1,Feathered gothic,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Tholera,Tholera decimalis
ilThuSene1,Round-winged muslin,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Thumatha,Thumatha senex
ilThyBati1,Peach blossom,Metazoa,Arthropoda,Insecta,Lepidoptera,Drepanidae,Thyatira,Thyatira batis
ilThySylv1,Small skipper,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Thymelicus,Thymelicus sylvestris
ilTilAura1,Barred sallow,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Tiliacea,Tiliacea aurago
